Number of recommendations,PMF,BiasedMF,BeMF,NMF,BNMF,URP
1,0.80261293689,0.79197123462,0.77168732907,0.80981897325,0.76197854274,0.7519186651
2,0.80365952429,0.79788455236,0.77892830504,0.81214170415,0.76480139984,0.76079756496
3,0.80860559863,0.80373411236,0.78970144681,0.81571334574,0.77337450746,0.77184812036
4,0.81294951398,0.80979543688,0.79930366417,0.81835517138,0.7820060832,0.78198129114
5,0.81781641854,0.81501160573,0.8065979207,0.82151753134,0.79043809504,0.79111871118
6,0.82209718989,0.81962729195,0.8129241757,0.8256431212,0.79783224025,0.79905415358
7,0.82590842637,0.82389613602,0.81846807799,0.82845800914,0.80374753571,0.80549213507
8,0.8293695503,0.82782630947,0.82307564034,0.83184892086,0.80988170994,0.81124805132
9,0.83278929508,0.83161396791,0.8272179806,0.8350328808,0.81508763523,0.81664251606
10,0.8359382406,0.8348661501,0.83082116935,0.83766265651,0.81974750609,0.82115217274
